id,domain,analysis_id,prev_analysis_id,current_hash,previous_hash,diff_summary,severity,created_at
1,probe-us-02.dns-observe.com,3768,3767,fb2efee834ec2554adedf4c1010bb1affb51a9942008a732086b08150871205da980ad112f645d15cb5f5ffdcaa2a00165fa17f4e35e8ba91bc4b3f4649dde8c,60c379e4efb8289193824ef9a31debb395d9b88477dbaf8a31dfdb9265b011a8256a3d290586214ae456c0e50b0681e3ce9d1d158b0004401dd080b2fa34b74f,"[{""Label"": ""SPF Status"", ""Current"": ""success"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""Mail Posture"", ""Current"": ""no-mail domain — fully hardened"", ""Previous"": ""limited protection"", ""Severity"": ""info""}, {""Label"": ""SPF Records"", ""Current"": ""dns-observe.com._report._dmarc.dns-observe.com,v=spf1 -all"", ""Previous"": ""(none)"", ""Severity"": ""warning""}]",warning,2026-02-23 01:31:09.122924
2,probe-us-02.dns-observe.com,3769,3768,b8955ef755d811d3ff106decbd3689e73ace6fe7645e762db0a46d90ca3c32979bc6025d8f576b60a6a225f3b5b7509720d0b205b4a0377c3a440027461275c9,fb2efee834ec2554adedf4c1010bb1affb51a9942008a732086b08150871205da980ad112f645d15cb5f5ffdcaa2a00165fa17f4e35e8ba91bc4b3f4649dde8c,"[{""Label"": ""SPF Records"", ""Current"": ""probe-us-02.dns-observe.com._report._dmarc.dns-observe.com,v=spf1 -all"", ""Previous"": ""dns-observe.com._report._dmarc.dns-observe.com,v=spf1 -all"", ""Severity"": ""warning""}]",warning,2026-02-23 01:40:17.308835
3,probe-us-01.dns-observe.com,3773,3772,b8099dfe2ba2ebc8f8a8a8ef1db60007567bc8a4665246259dc6087f92705aec5fad6d2e5b5c2a5d0f3366d41b8c13826ba1c50faa374fdbc3da557de33062c1,90c1c64145b2c56801645f82a75c9383d653a916daa5c8e119730ccf5278a5b523b8537a9c25d92e3665a3fc4a77ee5fd097f8767d05350a2655fb510ee92895,"[{""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=reject; sp=reject; adkim=s; aspf=s;"", ""Previous"": ""v=dmarc1; p=reject; sp=reject; rua=mailto:security@dns-observe.com; adkim=s; aspf=s;"", ""Severity"": ""warning""}]",warning,2026-02-23 01:51:46.447697
4,probe-us-02.dns-observe.com,3774,3771,d2a5419d5be04676765a8253f98f50035753a9ffcb60db75db63ba65949fb94deebb4063f650314c9843ce424e74ba2886a46acae3a38b544407734ad92c9243,b8955ef755d811d3ff106decbd3689e73ace6fe7645e762db0a46d90ca3c32979bc6025d8f576b60a6a225f3b5b7509720d0b205b4a0377c3a440027461275c9,"[{""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=reject; sp=reject; adkim=s; aspf=s;"", ""Previous"": ""v=dmarc1; p=reject; sp=reject; rua=mailto:security@dns-observe.com; adkim=s; aspf=s;"", ""Severity"": ""warning""}]",warning,2026-02-23 01:54:01.307929
5,globalping.io,3787,2236,33c6654d1121b6019f78b53272b7ef70e62e119b96927d9ff759ebcbd5bf37030055b798ecb7d2704365060ee2a3ec6f73100836b8bb23529d7fbfee02b73f1e,35944e871e017f30a05a9320502cc2b3e454b77741b2f5eed8031717d58031ec,"[{""Label"": ""SPF Status"", ""Current"": ""missing"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""DMARC Status"", ""Current"": ""missing"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""Mail Posture"", ""Current"": ""unprotected"", ""Previous"": ""moderately protected"", ""Severity"": ""info""}]",warning,2026-02-23 11:14:06.955212
6,fette-beute.com,3800,2364,4558da716f28b887a2da2f344c69b157559a687be8c70bfb96b417228f5594a8e25d109530b08dac3061c3e5e8ceacd5146beb5947a6f592f1882dc5e0d4a858,5075c198510750a6f0c1788503a65cf1d43c35fd4e7fcfd744e0aac61a16e743,null,info,2026-02-23 13:14:20.469497
7,freebsd.org,3803,3613,0a117c18fc2279125ef10eea1afea97b496ac6537faab967c9d0c6b8d1fbdfc1805ad4c732039c606c206d701e73059cef49ac8fa0f7ff92f4366a0d369b8dfd,589da2f525efcc2cdc075c1c0ff8b0981965b1d430e8145d5f2bafb02820522915a869694042b0591463aef3405b0ada816a952f65c48a39a4fcb1846b287d44,"[{""Label"": ""DANE Status"", ""Current"": ""warning"", ""Previous"": ""info"", ""Severity"": ""warning""}, {""Label"": ""DANE Present"", ""Current"": ""true"", ""Previous"": ""false"", ""Severity"": ""warning""}]",warning,2026-02-23 14:19:01.756667
8,apavil.ro,3822,3765,972648e0cff710a933206fec3a6dbad9f63cbf50128fd56d85be6e7ded0cdd1bccad5421507986ad75367cf439e612b50fb33404293319be02dd881245dcace8,d62f5e5ca90cdd684aaaf5adef61e77297fcc45e4071c9f03664743067c45018ce738239f93a4acd11e2982624f7c6518268c0e9c69d772011415a182d8b866b,"[{""Label"": ""SPF Status"", ""Current"": ""success"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Status"", ""Current"": ""success"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Policy"", ""Current"": ""quarantine"", ""Previous"": ""<nil>"", ""Severity"": ""success""}, {""Label"": ""DKIM Status"", ""Current"": ""success"", ""Previous"": ""info"", ""Severity"": ""warning""}, {""Label"": ""Mail Posture"", ""Current"": ""moderately protected"", ""Previous"": ""unprotected"", ""Severity"": ""info""}, {""Label"": ""SPF Records"", ""Current"": ""google-site-verification=5pvhxiln-l0zdibmpgtle2e5ydpr8_ifyetvj-xdzyo,google-site-verification=wxoopxyw6dvtlmc_g8g9ddqpsqpwf6nxup4mf9vf1jk,v=spf1 mx a ip4:5.2.247.109/23 a:mail.apavil.ro ~all"", ""Previous"": ""(none)"", ""Severity"": ""warning""}, {""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=quarantine; pct=100; rua=mailto:re+qju8da0ubgm@dmarc.postmarkapp.com; sp=none; aspf=r;"", ""Previous"": ""(none)"", ""Severity"": ""warning""}]",warning,2026-02-23 14:22:31.84607
9,dns-observe.com,3894,3535,b8099dfe2ba2ebc8f8a8a8ef1db60007567bc8a4665246259dc6087f92705aec5fad6d2e5b5c2a5d0f3366d41b8c13826ba1c50faa374fdbc3da557de33062c1,90c1c64145b2c56801645f82a75c9383d653a916daa5c8e119730ccf5278a5b523b8537a9c25d92e3665a3fc4a77ee5fd097f8767d05350a2655fb510ee92895,"[{""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=reject; sp=reject; adkim=s; aspf=s;"", ""Previous"": ""v=dmarc1; p=reject; sp=reject; rua=mailto:security@dns-observe.com; adkim=s; aspf=s;"", ""Severity"": ""warning""}]",warning,2026-02-23 14:39:59.822659
10,anva.ch,3977,3969,8b36b3959c2d97259c0b1240a3e3786d30f46643b992982e6605fd5c49e2fc94c13d7d567892bd9fa3191272cf52f779e791a78be2b0614d4d04d1325f3bd9ef,070419336fe6867bd797cd39a74fe7f59ea72899704ff26b13a687fb76e484b9aa9a7c846fa838e80bfd99f93c805eaf949ac7907a2605e139c2682edddba4e4,"[{""Label"": ""TLS-RPT Status"", ""Current"": ""success"", ""Previous"": ""warning"", ""Severity"": ""warning""}]",warning,2026-02-23 19:13:30.606027
11,anva.ch,3978,3977,631df703d0c50c84629da634c981be745f8872d57c40563f00b3d9e95cd557056128d0f614983836e769236b43ccf4c6968d7853fd20a7172c18934321784e89,8b36b3959c2d97259c0b1240a3e3786d30f46643b992982e6605fd5c49e2fc94c13d7d567892bd9fa3191272cf52f779e791a78be2b0614d4d04d1325f3bd9ef,"[{""Label"": ""SPF Records"", ""Current"": ""v=spf1 ip4:37.17.239.253 ~all"", ""Previous"": ""v=spf1 ip4:37.17.239.253 -all"", ""Severity"": ""warning""}]",warning,2026-02-23 19:14:18.915556
12,anva.ch,3979,3978,142f532430443ef6019c20f5850942a623aee78d4dd108d5661185106112c69b26fa3cb939c72be2f68980c6f38a3ec1043a6830efac4cc2c0f32b1371e7d609,631df703d0c50c84629da634c981be745f8872d57c40563f00b3d9e95cd557056128d0f614983836e769236b43ccf4c6968d7853fd20a7172c18934321784e89,"[{""Label"": ""CAA Status"", ""Current"": ""success"", ""Previous"": ""warning"", ""Severity"": ""warning""}]",warning,2026-02-23 19:21:36.013968
13,anva.ch,3990,3979,d1b7dd17bdc24bdb273b6dd0ebfa4dc745c16ad73ff098b7792c53bff3fa75b651583e66d105ad313d0c1967085c8444f79a09f1039b2c4bd1b0b91467e70aa5,142f532430443ef6019c20f5850942a623aee78d4dd108d5661185106112c69b26fa3cb939c72be2f68980c6f38a3ec1043a6830efac4cc2c0f32b1371e7d609,"[{""Label"": ""MTA-STS Status"", ""Current"": ""success"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""MTA-STS Mode"", ""Current"": ""enforce"", ""Previous"": ""<nil>"", ""Severity"": ""info""}, {""Label"": ""SPF Records"", ""Current"": ""v=spf1 ip4:37.17.239.253 -all"", ""Previous"": ""v=spf1 ip4:37.17.239.253 ~all"", ""Severity"": ""warning""}]",warning,2026-02-23 20:22:44.783086
14,198119799470.xyz,4015,3966,116f80d302b239eb4517e6821f974241ee42ca00b587e3945cc899a5ccb6489dc50a46ba0a9d5dee3dfa796bce2b7851791d3a1214b889077dc9c3f59f892515,d62f5e5ca90cdd684aaaf5adef61e77297fcc45e4071c9f03664743067c45018ce738239f93a4acd11e2982624f7c6518268c0e9c69d772011415a182d8b866b,"[{""Label"": ""SPF Status"", ""Current"": ""success"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Status"", ""Current"": ""success"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Policy"", ""Current"": ""reject"", ""Previous"": ""<nil>"", ""Severity"": ""success""}, {""Label"": ""Mail Posture"", ""Current"": ""no-mail domain — fully hardened"", ""Previous"": ""unprotected"", ""Severity"": ""info""}, {""Label"": ""SPF Records"", ""Current"": ""v=spf1 -all"", ""Previous"": ""(none)"", ""Severity"": ""warning""}, {""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=reject"", ""Previous"": ""(none)"", ""Severity"": ""warning""}]",warning,2026-02-24 07:25:41.900814
15,198119799470.xyz,4016,4015,e4258ebd6c1a8157c755cc0b903928fd2dc5bf4cbf69f069e01e2a866351f171170395f67468f3ebc169118347f2aa71fcbb5ceb76c2aff4dd301a9548225214,116f80d302b239eb4517e6821f974241ee42ca00b587e3945cc899a5ccb6489dc50a46ba0a9d5dee3dfa796bce2b7851791d3a1214b889077dc9c3f59f892515,"[{""Label"": ""DMARC Records"", ""Current"": ""v=dmarc1; p=reject; sp=reject; adkim=s; aspf=s;"", ""Previous"": ""v=dmarc1; p=reject"", ""Severity"": ""warning""}]",warning,2026-02-24 07:30:33.496965
16,198119799470.xyz,4017,4016,b8099dfe2ba2ebc8f8a8a8ef1db60007567bc8a4665246259dc6087f92705aec5fad6d2e5b5c2a5d0f3366d41b8c13826ba1c50faa374fdbc3da557de33062c1,e4258ebd6c1a8157c755cc0b903928fd2dc5bf4cbf69f069e01e2a866351f171170395f67468f3ebc169118347f2aa71fcbb5ceb76c2aff4dd301a9548225214,"[{""Label"": ""CAA Status"", ""Current"": ""success"", ""Previous"": ""warning"", ""Severity"": ""warning""}]",warning,2026-02-24 07:34:52.969148
17,anva.ch,4026,3991,62219851d974d8e5a9391a8e8fd85e4440730d22421db1c18e7ab338485e3363cc721ee319901669977eb0329962f54eee509bafec2bfd8c66a9029edeaebb04,d1b7dd17bdc24bdb273b6dd0ebfa4dc745c16ad73ff098b7792c53bff3fa75b651583e66d105ad313d0c1967085c8444f79a09f1039b2c4bd1b0b91467e70aa5,"[{""Label"": ""MTA-STS Status"", ""Current"": ""warning"", ""Previous"": ""success"", ""Severity"": ""warning""}, {""Label"": ""MTA-STS Mode"", ""Current"": ""<nil>"", ""Previous"": ""enforce"", ""Severity"": ""info""}]",warning,2026-02-24 08:42:05.560246
18,anva.ch,4041,4026,d1b7dd17bdc24bdb273b6dd0ebfa4dc745c16ad73ff098b7792c53bff3fa75b651583e66d105ad313d0c1967085c8444f79a09f1039b2c4bd1b0b91467e70aa5,62219851d974d8e5a9391a8e8fd85e4440730d22421db1c18e7ab338485e3363cc721ee319901669977eb0329962f54eee509bafec2bfd8c66a9029edeaebb04,"[{""Label"": ""MTA-STS Status"", ""Current"": ""success"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""MTA-STS Mode"", ""Current"": ""enforce"", ""Previous"": ""<nil>"", ""Severity"": ""info""}]",warning,2026-02-24 14:13:54.64714
19,com,4052,4004,f82eac4f5f782dc60ee83f51de94a966ada44d55b338802314b6311e4b0b7957a2a8e3ea6bd19edc83b40e6626729f8f7ddf8745fc7100964092299b01a31cd4,7f6caacf090cdd9ef0ed3853e7d13875ae5350d95c53add51752fa06b62824a5e7947a96eb3fc14021ef267f1c11a8efcdb507181f104081f31a940da7d09131,"[{""Label"": ""SPF Status"", ""Current"": ""n/a"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Status"", ""Current"": ""n/a"", ""Previous"": ""missing"", ""Severity"": ""warning""}, {""Label"": ""DMARC Policy"", ""Current"": ""(none)"", ""Previous"": ""<nil>"", ""Severity"": ""info""}, {""Label"": ""DKIM Status"", ""Current"": ""n/a"", ""Previous"": ""info"", ""Severity"": ""warning""}, {""Label"": ""MTA-STS Status"", ""Current"": ""n/a"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""MTA-STS Mode"", ""Current"": ""(none)"", ""Previous"": ""<nil>"", ""Severity"": ""info""}, {""Label"": ""TLS-RPT Status"", ""Current"": ""n/a"", ""Previous"": ""warning"", ""Severity"": ""warning""}, {""Label"": ""BIMI Status"", ""Current"": ""n/a"", ""Previous"": ""warning"", ""Severity"": ""warning""}]",warning,2026-02-24 14:18:00.918681
