id,protocol,layer,maturity,total_runs,consecutive_passes,first_pass_at,last_regression_at,last_evaluated_at,updated_at
3752,dkim,collection,consistent,8023,8023,2026-02-21 00:08:37.260888,,2026-04-08 05:02:30.437646,2026-04-08 05:02:30.437646
3758,caa,collection,consistent,8042,8042,2026-02-21 00:08:37.79347,,2026-04-08 05:02:30.558383,2026-04-08 05:02:30.558383
517,caa,analysis,consistent,8408,8408,2026-02-19 20:46:00.535461,,2026-04-08 05:02:30.679686,2026-04-08 05:02:30.679686
3762,bimi,collection,consistent,8014,8014,2026-02-21 00:08:38.14804,,2026-04-08 05:02:30.803883,2026-04-08 05:02:30.803883
514,bimi,analysis,consistent,8380,8380,2026-02-19 20:46:00.203254,,2026-04-08 05:02:30.924718,2026-04-08 05:02:30.924718
2,dmarc,analysis,consistent,8572,8572,2026-02-19 01:52:29.391319,,2026-04-08 05:02:28.865755,2026-04-08 05:02:28.865755
5268,dmarc,collection,consistent,7950,7950,2026-02-21 06:27:02.339477,,2026-04-08 05:02:28.988046,2026-04-08 05:02:28.988046
7,dnssec,analysis,consistent,8554,8554,2026-02-19 02:08:09.096528,,2026-04-08 05:02:29.108993,2026-04-08 05:02:29.108993
3756,dnssec,collection,consistent,8015,8015,2026-02-21 00:08:37.616202,,2026-04-08 05:02:29.229648,2026-04-08 05:02:29.229648
513,mta_sts,analysis,consistent,8392,8392,2026-02-19 20:46:00.091949,,2026-04-08 05:02:29.350517,2026-04-08 05:02:29.350517
3759,mta_sts,collection,consistent,8040,8040,2026-02-21 00:08:37.882277,,2026-04-08 05:02:29.471543,2026-04-08 05:02:29.471543
509,tlsrpt,analysis,consistent,8415,8415,2026-02-19 20:45:59.592863,,2026-04-08 05:02:29.592729,2026-04-08 05:02:29.592729
5258,tlsrpt,collection,consistent,7937,7937,2026-02-21 06:27:01.481563,,2026-04-08 05:02:29.71389,2026-04-08 05:02:29.71389
510,dane,analysis,consistent,8362,8362,2026-02-19 20:45:59.759854,,2026-04-08 05:02:29.834098,2026-04-08 05:02:29.834098
3764,dane,collection,consistent,8003,8003,2026-02-21 00:08:38.326114,,2026-04-08 05:02:29.954435,2026-04-08 05:02:29.954435
1,spf,analysis,consistent,8592,8592,2026-02-19 01:52:29.224913,,2026-04-08 05:02:30.075274,2026-04-08 05:02:30.075274
3750,spf,collection,consistent,8063,8063,2026-02-21 00:08:37.077958,,2026-04-08 05:02:30.196175,2026-04-08 05:02:30.196175
512,dkim,analysis,consistent,8388,8388,2026-02-19 20:45:59.981475,,2026-04-08 05:02:30.316885,2026-04-08 05:02:30.316885
