id,scan_id,dimension,score,grade,record_types_evaluated,record_types_list
1,1,currentness,100,excellent,3,{}
2,1,ttl_compliance,100,excellent,3,{}
3,1,completeness,20,stale,3,{}
4,1,source_credibility,100,excellent,4,{}
5,1,ttl_relevance,33.333332,degraded,3,{}
6,2,currentness,100,excellent,6,{}
7,2,ttl_compliance,100,excellent,6,{}
8,2,completeness,40,degraded,6,{}
9,2,source_credibility,100,excellent,4,{}
10,2,ttl_relevance,58.333332,adequate,6,{}
11,3,currentness,100,excellent,6,{}
12,3,ttl_compliance,60,adequate,5,{}
13,3,completeness,40,degraded,6,{}
14,3,source_credibility,90,excellent,4,{}
15,3,ttl_relevance,41.666668,degraded,6,{}
16,4,currentness,100,excellent,7,{}
17,4,ttl_compliance,100,excellent,6,{}
18,4,completeness,46.666668,degraded,7,{}
19,4,source_credibility,95,excellent,4,{}
20,4,ttl_relevance,35.714287,degraded,7,{}
21,5,currentness,100,excellent,7,{}
22,5,ttl_compliance,100,excellent,6,{}
23,5,completeness,46.666668,degraded,7,{}
24,5,source_credibility,95,excellent,4,{}
25,5,ttl_relevance,50,adequate,7,{}
26,6,currentness,100,excellent,5,{}
27,6,ttl_compliance,100,excellent,5,{}
28,6,completeness,33.333332,degraded,5,{}
29,6,source_credibility,100,excellent,4,{}
30,6,ttl_relevance,50,adequate,5,{}
31,7,currentness,100,excellent,6,{}
32,7,ttl_compliance,100,excellent,6,{}
33,7,completeness,40,degraded,6,{}
34,7,source_credibility,100,excellent,4,{}
35,7,ttl_relevance,58.333332,adequate,6,{}
36,8,currentness,100,excellent,6,{}
37,8,ttl_compliance,100,excellent,6,{}
38,8,completeness,40,degraded,6,{}
39,8,source_credibility,100,excellent,4,{}
40,8,ttl_relevance,58.333332,adequate,6,{}
41,9,currentness,100,excellent,6,{}
42,9,ttl_compliance,100,excellent,6,{}
43,9,completeness,40,degraded,6,{}
44,9,source_credibility,100,excellent,4,{}
45,9,ttl_relevance,50,adequate,6,{}
46,10,currentness,100,excellent,5,{}
47,10,ttl_compliance,100,excellent,5,{}
48,10,completeness,33.333332,degraded,5,{}
49,10,source_credibility,100,excellent,4,{}
50,10,ttl_relevance,50,adequate,5,{}
51,11,currentness,100,excellent,7,{}
52,11,ttl_compliance,100,excellent,6,{}
53,11,completeness,46.666668,degraded,7,{}
54,11,source_credibility,95,excellent,4,{}
55,11,ttl_relevance,35.714287,degraded,7,{}
56,12,currentness,100,excellent,5,{}
57,12,ttl_compliance,100,excellent,5,{}
58,12,completeness,33.333332,degraded,5,{}
59,12,source_credibility,100,excellent,4,{}
60,12,ttl_relevance,60,adequate,5,{}
61,13,currentness,100,excellent,7,{}
62,13,ttl_compliance,100,excellent,6,{}
63,13,completeness,46.666668,degraded,7,{}
64,13,source_credibility,90,excellent,4,{}
65,13,ttl_relevance,28.571428,degraded,7,{}
66,14,currentness,100,excellent,5,{}
67,14,ttl_compliance,100,excellent,5,{}
68,14,completeness,33.333332,degraded,5,{}
69,14,source_credibility,100,excellent,4,{}
70,14,ttl_relevance,50,adequate,5,{}
71,15,currentness,100,excellent,5,{}
72,15,ttl_compliance,100,excellent,5,{}
73,15,completeness,33.333332,degraded,5,{}
74,15,source_credibility,100,excellent,4,{}
75,15,ttl_relevance,40,degraded,5,{}
76,16,currentness,100,excellent,6,{}
77,16,ttl_compliance,100,excellent,6,{}
78,16,completeness,40,degraded,6,{}
79,16,source_credibility,100,excellent,4,{}
80,16,ttl_relevance,58.333332,adequate,6,{}
81,17,currentness,100,excellent,5,{}
82,17,ttl_compliance,100,excellent,5,{}
83,17,completeness,33.333332,degraded,5,{}
84,17,source_credibility,100,excellent,4,{}
