id,domain,overall_score,overall_grade,resolver_count,record_count,app_version,created_at
1,dnstool.it-help.tech,70.666664,adequate,5,3,26.25.26,2026-02-23 07:51:02.319294
2,ietf.org,79.666664,good,5,6,26.25.26,2026-02-23 07:51:15.389452
3,cisa.gov,66.333336,adequate,5,6,26.25.26,2026-02-23 07:51:41.103981
4,cloudflare.com,75.47619,good,5,7,26.25.26,2026-02-23 07:53:38.677974
5,cloudflare.com,78.333336,good,5,7,26.25.26,2026-02-23 07:54:52.303041
6,hak5.org,76.666664,good,5,5,26.25.26,2026-02-23 08:51:48.279616
7,ietf.org,79.666664,good,5,6,26.25.26,2026-02-23 08:51:59.117972
8,ietf.org,79.666664,good,5,6,26.25.26,2026-02-23 08:57:32.726058
9,ietf.org,78,good,5,6,26.25.26,2026-02-23 08:57:40.248323
10,hak5.org,76.666664,good,5,5,26.25.26,2026-02-23 08:58:00.034775
11,cloudflare.com,75.47619,good,5,7,26.25.26,2026-02-23 08:58:09.393943
12,globalping.io,78.666664,good,5,5,26.25.26,2026-02-23 11:14:08.719152
13,it-help.tech,73.04762,adequate,5,7,26.25.27,2026-02-23 12:36:02.895608
14,hak5.org,76.666664,good,5,5,26.25.27,2026-02-23 13:00:40.169871
15,hak5.org,74.666664,adequate,5,5,26.25.27,2026-02-23 13:01:20.568445
16,ietf.org,79.666664,good,5,6,26.25.27,2026-02-23 13:01:29.216213
17,hak5.org,76.666664,good,5,5,26.25.27,2026-02-23 13:01:44.616013
18,cloudflare.com,76.90476,good,5,7,26.25.27,2026-02-23 13:01:53.17101
19,ietf.org,76.333336,good,5,6,26.25.27,2026-02-23 13:02:01.917177
20,cloudflare.com,76.90476,good,5,7,26.25.27,2026-02-23 13:02:40.317087
21,apple.com,79.7619,good,5,7,26.25.28,2026-02-23 13:05:36.631018
22,apple.com,78.333336,good,5,7,26.25.28,2026-02-23 13:06:56.674981
23,apple.com,76.90476,good,5,7,26.25.28,2026-02-23 13:10:34.431867
24,gmg-attendorn.de,78.666664,good,5,5,26.25.28,2026-02-23 13:14:16.70006
25,fette-beute.com,75.416664,good,5,5,26.25.28,2026-02-23 13:14:22.260216
26,nlnetlabs.nl,74.666664,adequate,5,6,26.25.28,2026-02-23 14:18:45.348402
27,ietf.org,79.666664,good,5,6,26.25.28,2026-02-23 14:18:55.660128
28,freebsd.org,80.7619,good,5,7,26.25.28,2026-02-23 14:19:03.404106
29,google.com,74.47619,adequate,5,7,26.25.28,2026-02-23 14:19:28.212082
30,it-help.tech,72.54762,adequate,5,7,26.25.28,2026-02-23 14:19:41.539773
31,freebsd.org,80.7619,good,5,7,26.25.28,2026-02-23 14:19:44.354833
32,ietf.org,78,good,5,6,26.25.28,2026-02-23 14:19:50.386352
33,google.com,73.97619,adequate,5,7,26.25.28,2026-02-23 14:20:00.238194
34,apple.com,79.5119,good,5,7,26.25.28,2026-02-23 14:20:05.988059
35,gmg-attendorn.de,78.666664,good,5,5,26.25.28,2026-02-23 14:20:14.828586
36,freebsd.org,80.7619,good,5,7,26.25.28,2026-02-23 14:20:15.806685
37,hak5.org,76.666664,good,5,5,26.25.28,2026-02-23 14:20:41.444082
38,hak5.org,74.666664,adequate,5,5,26.25.28,2026-02-23 14:21:08.753989
39,hak5.org,76.666664,good,5,5,26.25.28,2026-02-23 14:21:22.581898
40,cloudflare.com,76.65476,good,5,7,26.25.28,2026-02-23 14:21:37.754621
41,dnstool.it-help.tech,70.666664,adequate,5,3,26.25.28,2026-02-23 14:21:49.128809
42,com.au,72.666664,adequate,5,2,26.25.28,2026-02-23 14:21:50.489936
43,dnstool.it-help.tech,70.666664,adequate,5,3,26.25.28,2026-02-23 14:22:01.005838
44,cloudflare.com,76.90476,good,5,7,26.25.28,2026-02-23 14:22:11.572294
45,cisa.gov,68.666664,adequate,5,6,26.25.28,2026-02-23 14:22:19.01676
46,cloudflare.com,76.90476,good,5,7,26.25.28,2026-02-23 14:22:26.811839
47,apavil.ro,58.666668,adequate,5,5,26.25.28,2026-02-23 14:22:33.485032
48,apavil.ro,68.666664,adequate,5,5,26.25.28,2026-02-23 14:22:45.7213
49,cisa.gov,69.833336,adequate,5,6,26.25.28,2026-02-23 14:22:45.92304
50,probe-us-01.dns-observe.com,75.333336,good,5,4,26.25.28,2026-02-23 14:22:47.881068
51,probe-us-02.dns-observe.com,70.666664,adequate,5,3,26.25.28,2026-02-23 14:22:51.170604
52,probe-us-01.dns-observe.com,75.333336,good,5,4,26.25.28,2026-02-23 14:22:54.828408
53,cisa.gov,65.833336,adequate,5,6,26.25.28,2026-02-23 14:22:59.355544
54,apavil.ro,58.666668,adequate,5,5,26.25.28,2026-02-23 14:23:13.222394
55,probe-us-02.dns-observe.com,70.666664,adequate,5,3,26.25.28,2026-02-23 14:23:29.091728
56,probe-us-02.dns-observe.com,70.666664,adequate,5,3,26.25.28,2026-02-23 14:23:55.886858
57,hotmail.com,81.333336,good,5,6,26.25.28,2026-02-23 14:26:20.91481
58,glendun.com.au,64.666664,adequate,5,5,26.25.28,2026-02-23 14:26:59.810467
59,oxidesurvival.com,77.333336,good,5,3,26.25.28,2026-02-23 14:27:12.315452
60,zmacnashville.net,78.666664,good,5,5,26.25.28,2026-02-23 14:27:14.225749
61,oxidesurvival.com,80.666664,good,5,3,26.25.28,2026-02-23 14:27:20.931673
62,glendun.com.au,74.166664,adequate,5,5,26.25.28,2026-02-23 14:27:32.462757
63,clinicbilling.com,52.666668,adequate,5,2,26.25.28,2026-02-23 14:27:36.368342
64,cnn.com,73.416664,adequate,5,6,26.25.28,2026-02-23 14:27:48.23648
65,proton.me,76.75,good,5,6,26.25.28,2026-02-23 14:27:58.948203
66,glendun.com.au,73.666664,adequate,5,5,26.25.28,2026-02-23 14:28:08.056951
67,fredduval.com,78.666664,good,5,5,26.25.28,2026-02-23 14:28:18.136984
