id,timestamp,level,message,event,category,domain,trace_id,attrs,created_at
65943,2026-04-06 11:51:30.524993,WARN,RDAP lookup exhausted all endpoints,"","",scfcv.ro,"","{""domain"": ""scfcv.ro"", ""endpoints_tried"": ""1""}",2026-04-06 11:51:34.577873
65951,2026-04-06 11:52:19.787079,WARN,RDAP lookup exhausted all endpoints,"","",kisa.org.cy,"","{""domain"": ""kisa.org.cy"", ""endpoints_tried"": ""1""}",2026-04-06 11:52:24.51615
65952,2026-04-06 11:52:27.474067,WARN,RDAP lookup exhausted all endpoints,"","",org.cy,"","{""domain"": ""org.cy"", ""endpoints_tried"": ""1""}",2026-04-06 11:52:29.516999
65953,2026-04-06 11:52:39.442359,WARN,hackertarget rate limited or no results,"","",kisa.org.cy,"","{""domain"": ""kisa.org.cy""}",2026-04-06 11:52:44.515324
65954,2026-04-06 11:52:42.389701,WARN,RDAP endpoint failed,"","",sportcommunities.group,"","{""url"": ""https://rdap.org/domain/sportcommunities.group"", ""error"": ""Get \""https://rdap.org/domain/sportcommunities.group\"": context canceled"", ""domain"": ""sportcommunities.group"", ""attempt"": ""2/2"", ""elapsed_ms"": ""245""}",2026-04-06 11:52:44.578317
65955,2026-04-06 11:52:46.822585,WARN,Wayback Machine attempt failed,"","","","","{""error"": ""wayback: request failed: Get \""https://web.archive.org/save/https://dnstool.it-help.tech/analysis/10974/view/E\"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)"", ""target"": ""https://dnstool.it-help.tech/analysis/10974/view/E"", ""attempt"": ""1""}",2026-04-06 11:52:49.518461
66866,2026-04-07 13:26:50.649213,WARN,RDAP endpoint failed,"","",poop.com,"","{""url"": ""https://rdap.org/domain/poop.com"", ""error"": ""Get \""https://rdap.org/domain/poop.com\"": context canceled"", ""domain"": ""poop.com"", ""attempt"": ""2/2"", ""elapsed_ms"": ""106""}",2026-04-07 13:26:54.714173
58911,2026-04-03 14:55:53.349974,WARN,DNS discrepancy,"","",cloudflare.com,"","{""domain"": ""cloudflare.com"", ""record_type"": ""TXT"", ""discrepancies"": ""[OpenDNS returned different results: [MS=ms70274184 ZOOM_verify_7LFBvOO9SIigypFG2xRlMA _neqmkgaq1lq9it5s8qmetrhbnu121wb _wkjc0fot0d7qrvrdt78bxkj2e2o67d2 apple-domain-verification=DNnWJoArJobFJKhJ asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa canva-site-verification=oOyaVnHC-OiFoR1BPvetNA docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c status-page-domain-verification=r14frwljwbxs]]""}",2026-04-03 14:55:53.598732
58945,2026-04-03 14:56:31.227851,ERROR,Remote probe: authentication failed (401) — check PROBE_API_KEY,"","","","",{},2026-04-03 14:56:33.606935
58946,2026-04-03 14:56:31.227988,WARN,"Remote probe failed, attempting local fallback","","","","","{""remote_error"": ""authentication failed (401)""}",2026-04-03 14:56:33.66722
