class,domain,dmarc_status,policy,p,sp,pct,aspf,adkim,has_rua,has_ruf,spf_present,spf_includes,dnssec,mta_sts,tls_rpt,bimi,has_dmarc,enforcing
provider,126.com,present,none,none,,100,r,r,False,False,True,spf.mail.163.com,False,False,False,False,True,False
provider,163.com,present,none,none,,100,r,r,False,False,True,spf.mail.163.com,False,False,False,False,True,False
provider,abv.bg,present,none,none,,100,r,r,True,False,True,,False,False,False,False,True,False
provider,alice.it,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
provider,aol.com,present,reject,reject,,100,r,r,True,True,True,_spf.mail.yahoo.com,False,False,False,False,True,True
provider,att.net,present,quarantine,quarantine,,100,r,r,True,True,True,_ipspf.yahoo.com,False,False,False,False,True,True
provider,bol.com.br,present,none,none,none,100,r,r,True,True,True,relays.uol.com.br spf.bol.com.br spfcloud.bol.com.br spfexcl.uol.com.br,False,False,False,False,True,False
provider,bt.com,present,reject,reject,,100,r,r,True,True,False,,False,True,False,False,True,True
provider,btinternet.com,present,reject,reject,reject,100,r,r,True,True,True,_spf.btinternet.com bt.com,False,False,False,False,True,True
provider,charter.net,absent,no DMARC,,,100,r,r,False,False,True,,False,False,False,False,False,False
provider,comcast.net,present,reject,reject,reject,100,r,r,True,False,True,_ipspf.yahoo.com _spf.mdp.comcast.net _spfv6.comcast.net,True,True,True,False,True,True
provider,cox.net,present,none,none,,100,r,r,True,True,True,_ipspf.yahoo.com cxr.spf.a.cloudfilter.net,False,False,False,False,True,False
provider,daum.net,present,none,none,,100,r,r,True,False,True,_external_smtp.daum.net _spf.daum.net,False,False,False,False,True,False
provider,earthlink.net,present,none,none,,100,r,r,False,False,True,spf.earthlink-vadesecure.net,False,False,False,False,True,False
provider,fastmail.com,present,none,none,,100,r,r,True,False,True,spf.messagingengine.com,False,True,True,False,True,False
provider,fastmail.fm,present,none,none,,100,r,r,True,False,True,spf.messagingengine.com,False,True,True,False,True,False
provider,free.fr,present,quarantine,quarantine,none,100,r,r,False,False,True,_spf.free.fr,False,False,False,False,True,True
provider,gmail.com,present,none,none,quarantine,100,r,r,True,False,True,_spf.google.com,False,True,True,False,True,False
provider,gmx.com,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.gmx.net,True,True,True,False,True,True
provider,gmx.de,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.gmx.net,True,False,False,False,True,True
provider,gmx.net,present,quarantine,quarantine,,100,r,r,True,False,True,_spf.gmx.net,True,True,True,False,True,True
